chapter_file,sec_id,title,certainty,directness,defensible,trigger,eligible_designs,critical_outcome,min_followup,decision_threshold,triage_matters,triage_uncertain,triage_evidence_coming,surveillance_mode,last_checked
parts/02-caries/05-brush-twice-daily.qmd,sec-twice-daily,Brush twice daily,"Low, for the frequency component specifically. Pooled observational data with self-reported exposure; no grounds to upgrade on magnitude, dose-response or confounding direction, and a defensible case for very low that I have not taken. This agrees with DBOH's own rating.","Poor for the cited evidence, better for the uncited evidence. SIGN 138's meta-regression is indirect on comparison and on level of inference: it compares trials, not people. Kumar 2016 asks the recommendation's question with the right outcome, and remains observational, so it speaks to association rather than to the effect of assigning a second daily brushing. It is not cited by DBOH. One qualification on population, since the recommendation quoted at the top of this chapter is the adult one. All but eight of Kumar's 33 included studies are in infants or children. So the uncited evidence repairs the directness problem on question and outcome while leaving the child-to-adult mismatch that DBOH itself flags for frequency. Al-Sharani 2025, being confined to children under six, does not help with that either.","Not on the published reasoning. Using the categories from [sec-certainty-strength], this looks like one that ""should have been Conditional"": the certainty is low, the cited evidence does not address the component, and no rationale for a discordant Strong recommendation is given. Two caveats, per [sec-method]. I have not run an evidence-to-decision assessment, so I cannot rule out that a panel weighing values, burden and resources would still land on Strong; a case could be made, since the burden is small and widely accepted. And DBOH does not say which component set the strength for this row, so ""the frequency is riding on the fluoride toothpaste"" is my inference from the certainty ratings, not the guideline's statement.","A trial randomizing participants to brush once versus twice daily, holding toothpaste, technique and supervision constant, with caries increment or tooth pain at two years or more. Failing that, a cohort study with objectively measured brushing frequency rather than self-report, adjusted for socioeconomic position and dental attendance, showing a monotone gradient across three or more frequency categories. If either exists and I have missed it, I will correct this chapter.",,,,,,,,,
parts/02-caries/06-last-thing-at-night.qmd,sec-last-thing,Brush last thing at night,"Very low. A single conference abstract reporting a surrogate outcome, with no full report available to appraise, supporting a mechanism rather than the recommendation. DBOH's own rating for this component is low to very low, and I agree with the lower end.","Very poor. The cited study did not vary the timing of brushing, which is the only thing the advice is about. It compared two toothpaste bases, in twelve adults, measuring salivary fluoride.","Not on the published reasoning. The recommendation is supported by plausible physiology and by one indirect measurement, with no study of the comparison it asserts. On DBOH's own definitions that is the profile of a Good practice point: advice resting on extrapolation from related research and on clinical consensus. SIGN 138 classified it exactly that way, in its own notation, before DBOH bundled it into a Strong recommendation. Two qualifications. Calling it a good practice point is not the same as saying the evidence is unrateable; I have rated it very low above, and both statements can stand because DBOH's category is defined by the kind of evidence available, not by the impossibility of grading it. And as everywhere in this book, I have not run a full evidence-to-decision assessment ([sec-method]), so this is a judgment about the published justification, not a claim that no panel could reach Strong.","A randomized trial allocating people to brush last thing at night versus ninety minutes to two hours earlier, everything else held constant, with caries increment or self-reported tooth pain at two years or more. A cross-over with an intermediate outcome would not do it; the point of this chapter is that intermediate outcomes have already been measured and cannot settle it. Even a well-conducted prospective cohort with objectively recorded brushing times would move me from very low to low.",,,,,,,,,
parts/02-caries/07-spit-dont-rinse.qmd,sec-spit,"Spit, don't rinse","Low. One randomized trial at high risk of bias which tested a four-part bundle rather than rinsing alone, plus one non-randomized within-trial analysis with post-hoc regrouping. This is one rating below DBOH's stated moderate, and I cannot reconstruct how moderate was reached. In the blog version I said ""very low."" I have moved up, not down: there is a randomized trial here with a caries outcome pointing in the right direction, which is more than either of the two preceding chapters can say.","Poor on intervention, and narrower on population than I first said. The Swedish trial has a patient-relevant outcome and a three-year follow-up. Its intervention is a four-part bundle of which not rinsing is one part, so the effect cannot be attributed to the advice as worded: that is indirectness on the intervention, and it is the decisive one here. On population, the trial enrolled four-year-olds. The recommendation quoted at the top of this chapter comes from tables 1d and 1f, which cover children aged 7 to 18 and adults. So the population matches DBOH's table 1b and is extrapolated for the rest, which is the same child-to-adult step DBOH itself flags for the other brushing components. The Scottish analysis matches the question reasonably well on population and outcome; its problem is uncontrolled confounding and a data-driven grouping, which are risk of bias, not indirectness. I had these filed under the wrong heading in an earlier draft.","Arguably yes, unlike the previous two chapters. This is the best candidate in the brushing bundle for a legitimate discordant recommendation: the burden is close to zero, no harm has been identified, the mechanism is clear and consistent with the salivary fluoride studies, and the one randomized trial points the right way. A Strong recommendation on low-certainty evidence is defensible here on those grounds, subject to the same caveat as everywhere in this book that I have not run a full evidence-to-decision assessment. What is not defensible is stating the certainty as moderate without showing how.","A trial randomizing people to rinse or not rinse after brushing, with everything else identical, and caries measured at two years or more. That is a cheap, ethical, entirely feasible trial that these searches did not find in thirty years of literature. Alternatively, publication of the reasoning behind DBOH's moderate rating would settle whether I have simply missed something the panel saw.",,,,,,,,,
parts/02-caries/08-how-much-fluoride.qmd,sec-ppm,How much fluoride should be in your toothpaste?,"For ""use fluoride toothpaste"": high against no fluoride at 1,000 to 1,250ppm, from 55 randomized trials, consistent, precise and direct; moderate for the same comparison at 1,450 to 1,500ppm, from four. For ""use 1,350 to 1,500ppm rather than 1,000ppm"": moderate, for a small effect (SMD −0.08, 95% CI −0.14 to −0.01), and from children and adolescents rather than adults.","Excellent for children and adolescents, indirect for adults. The review's question is the recommendation's question: right comparison, right outcome, randomized, followed for at least a year. But the adult recommendation names the 1,350 to 1,500ppm band, and the only adult evidence in this review is 1,000 or 1,100ppm against no fluoride (MD −0.53 DMFS, 95% CI −1.02 to −0.04, 3 studies). The band itself is evidenced in immature permanent dentition in children and adolescents, and DBOH says so: ""Evidence for the concentration is based on studies on immature permanent dentition in children and adolescents."" The other indirectness worth noting is the age of the evidence: the newest included trial is from 2014, and background fluoride exposure has changed.","Yes for the first claim, and emphatically so. This is what a Strong recommendation should rest on, and I would defend it against anyone. Arguable for the second. An effect of SMD −0.08 whose interval reaches −0.01 is thin ground for a Strong recommendation to buy one product rather than another. Conditional would fit it better. But because the two claims share a bullet, no reader can tell that they are differently supported.","For the first claim, essentially nothing short of a large contrary trial, and I do not expect one. For the second, an updated review including trials published since 2014, or any head-to-head trial of 1,450ppm against 1,000ppm powered for a patient-important outcome rather than a surface count, would move the estimate either way. I would also revise this if someone showed that the SMD back-transformation above is misleading in a direction I have not accounted for.",,,,,,,,,
parts/02-caries/09-how-much-toothpaste.qmd,sec-amount,"How much toothpaste, and does fluorosis matter?","No estimate at all for the quantity of toothpaste as a caries-relevant decision. I am deliberately not writing ""very low"" here: a certainty rating is a property of an effect estimate, and rating an unasked question would be the same category error this book opens with ([sec-certainty-strength]). Nothing I found has randomized the amount of paste against caries. For the fluorosis side, very low and inconclusive, on the 2024 update rather than the 2010 review the guideline cites: OR 0.77 (0.41 to 1.46) and OR 0.92 (0.66 to 1.28) for less versus more paste [@wong2024]. The guideline's own word for its version of this evidence is inconclusive, and that word survives the update.","Poor, and in an unusual way. The evidence concerns fluorosis; the recommendation sits inside a caries-prevention bundle. It is not that the evidence fails to match the advice, but that the advice has quietly changed outcome without saying so.",Not as it stands. On DBOH's own categories this looks like a Good practice point: a sensible precaution resting on clinical consensus and inconclusive research. It may well be the right precaution. Putting it under the same Strong label as five caries bullets stops a reader of the summary table from seeing that these components rest on different certainty and on different benefit-harm reasoning.,"A trial randomizing smear against pea against a full brush-length in young children, measuring both caries increment and fluorosis at age eight. That trial has ethical complications but is not impossible; Wong and colleagues argue that new randomized trials of fluorosis are unethical and that further evidence will have to come from observational work, which if right means this question stays open indefinitely. Failing that: publication of the trade-off reasoning the panel actually used, and a guideline that cites the 2024 review rather than the 2010 one.",,,,,,,,,
parts/02-caries/10-fluoride-varnish.qmd,sec-varnish,Fluoride varnish twice a year,"Moderate that fluoride varnish substantially reduces caries increment in children and adolescents. I agree with DBOH's rating. The effect is large and consistent in direction across 22 trials, and downgraded for risk of bias and heterogeneity rather than for anything about relevance. Separately, for the ""2 times a year"" schedule: low. Frequency has been randomized, in at least two included trials, and one of them found a dose-response on applications actually received. What the review does not provide is a pooled direct estimate of once against twice, because it combined active arms. So the schedule is not unevidenced, as I first wrote; it is imprecisely evidenced.","Good on the intervention, poor on the schedule, and aging. Right population, right comparator, caries measured directly over years. But the newest trial is from 2012, in a population with different background fluoride exposure from today's, and nothing in the review tests the recommended frequency.","Yes for applying varnish. This is the second-best-supported recommendation in the book after fluoride toothpaste, and a Strong label is right. Arguable for ""2 times a year"" as a specific number. DBOH reports openly that most included studies used two applications a year, and separately cites manufacturer guidance; it does not claim the number came from a head-to-head comparison. Twice a year is the schedule the evidence was generated under and the one a randomized trial found better than once. What has not been shown is that it is optimal, and a reader would be better served if the recommendation said which of those two things it meant.","An updated review including post-2012 trials, which would either confirm the effect in a modern fluoride-exposed population or show it shrinking, as happened with water fluoridation. And an analysis extracting the arm-level frequency contrasts that already sit inside Sköld and Weintraub, which would turn ""twice is what was studied"" into an estimate of how much twice beats once.",,,,,,,,,
parts/02-caries/11-fissure-sealants.qmd,sec-sealants,Fissure sealants,"Moderate that resin-based sealants substantially reduce caries in first permanent molars, sustained to at least 48 months. I agree with DBOH. Very low for glass ionomer and for any comparison between sealant materials.","Good on population and outcome, questionable on era. Right children, right teeth, caries measured over years. But five of the seven trials behind the headline estimate are from the 1970s, in a pre-fluoride-toothpaste population, and background fluoride exposure was rarely recorded. DBOH's claim that the benefit holds ""in both low risk and high risk populations"" turns out to be better supported than I first credited, and not only by the arithmetic projection from the pooled odds ratio. The review reports the two modern trials directly: in Liu 2012, carious first molars were found in 7.4% of the sealant group against 17% of the placebo group; in Liu 2014b, 3% against 15%. Both are Chinese cohorts in a country the review classifies as very low caries (DMFT under 1.2 at age 12), against control incidences of 37% to 69% in the five 1976 to 1979 split-mouth trials. The effect survives into a modern low-caries setting; the absolute benefit is much smaller, exactly as you would expect.","Yes. The effect is large enough to survive its caveats, and the recommendation is correctly aimed at children at higher risk, where the absolute benefit is greatest. Of everything in Part II, this and fluoride toothpaste are the two I would defend most confidently. The improvement I would want is transparency about the age of the evidence, which affects how much benefit a child today should expect.","More trials in contemporary populations with recorded fluoride exposure. The two modern trials the review does report point the same way as the old ones on relative effect while showing far lower absolute risk, which is the pattern I would predict and not one that unsettles the recommendation. What would unsettle it is a modern trial finding no benefit. I would also want the harm side filled in: sealants can fail, and a partially lost sealant over a carious lesion is a scenario the trials do not describe.",,,,,,,,,
parts/02-caries/12-fluoride-mouth-rinse.qmd,sec-rinse,Fluoride mouth rinse,"Moderate for supervised school-based use, as DBOH states: a prevented fraction of 27% (95% CI 23% to 30%) for permanent tooth surfaces, from 35 trials in 15,305 children and adolescents. Lower for the advice as given, which is unsupervised daily home use. The review judges its findings may still apply there while saying the effect size is ""less clear""; nobody has put a number on how much less.","Poor on the setting, and both the guideline and the review say so. This is the clearest example in the book of a chapter 13 statement that discloses its own gap, and the review it rests on discloses the same gap in its own abstract. The disclosure is the good practice; the unquantified effect size is what remains.","Yes. Conditional is the right call for evidence that may not transfer from supervised to unsupervised use, aimed at a subgroup rather than everyone. Along with [sec-flossing] and [sec-scale-polish], this is the guideline handling uncertainty properly.","A trial of unsupervised daily home rinsing, with adherence measured rather than assumed, in people at high caries risk, reporting a prevented fraction that could be set beside the 27% from supervised use. Also worth knowing: whether ""at a different time to brushing"" matters, which is the same untested timing claim as [sec-last-thing] wearing different clothes.",,,,,,,,,
parts/02-caries/13-sugar.qmd,sec-sugar,Sugar: how much is too much?,"Moderate that lower free-sugars intake means less dental caries, and for the <10% of energy threshold. Very low for the <5% threshold, as DBOH states. I agree with both ratings, and note that the moderate rating represents a legitimate upgrade of observational evidence rather than a downgrade of trials.","Good on amount, weaker on frequency. The graded evidence concerns how much; the recommendation says how much and how often. The frequency claim is mechanistically strong and separately less well graded.","Yes. This is the clearest Strong recommendation in Part II after fluoride toothpaste. The evidence is consistent, the mechanism is understood, the direction is not in dispute, and the harms of eating less sugar are nil. The drafting point stands: ""amount and frequency"" is two instructions in one line, and the <10% and <5% thresholds carry moderate and very low certainty respectively while appearing in the same guidance.","On the direction, essentially nothing. On the thresholds, an updated review using modern caries diagnostic criteria and better dietary measurement, which would either firm up the 5% figure or retire it. On frequency, a study that separates the number of sugar exposures from the total quantity, which is hard but not impossible with modern dietary monitoring.",,,,,,,,,
parts/02-caries/14-breastfeeding.qmd,sec-breastfeeding,Breastfeeding and decay,"Low that breastfeeding up to 12 months reduces caries: one pooled estimate whose interval nearly touches no effect, with I² of 86.8%. Very low for the increased risk beyond 12 months and for the nocturnal-feeding figure. This matches DBOH's own ratings exactly.","Adequate on population and outcome, poor on the causal claim. These are observational studies in the right children measuring caries, and they cannot separate breastfeeding from the social and dietary factors that travel with it. The review says so.","Yes, for the recommendation. No, for the sentence. The recommendation to breastfeed is correctly Strong, on grounds DBOH states plainly and which lie outside dentistry. That is legitimate borrowing, and demanding otherwise would be both wrong and harmful. But the flat assertion ""Breastfed babies experience less tooth decay"", presented in the advice column with a Strong label, outruns the low-certainty, highly heterogeneous evidence behind it. One word, ""may"", would fix it.","A cohort study following children from birth that measures breastfeeding duration and night-feeding frequency prospectively, alongside sugar intake, toothbrushing and socioeconomic position, with caries at age five. The review identifies precisely this gap. Until someone fills it, the 12-month reversal stays uninterpretable.",,,,,,,,,
